extended	country	region	crit1	crit2	crit3	attacktype1	targtype1	targsubtype1	weaptype1	weapsubtype1
0	95	10	1	1	1	3	8	48	6	15
0	198	8	1	1	1	7	15	86	8	19
0	113	10	1	1	1	3	17	94	6	11
0	95	10	1	1	1	3	1	7	6	16
0	95	10	1	1	1	3	14	79	6	16
0	95	10	1	1	1	3	1	7	6	16
0	95	10	1	1	1	3	1	2	6	16
0	95	10	1	1	1	1	2	15	6	16
0	95	10	1	1	1	2	14	75	5	5
0	209	10	1	1	1	2	3	25	6	7
0	92	6	1	1	1	3	1	2	6	31
0	4	6	1	1	1	1	2	15	6	8
0	153	6	0	1	1	2	14	77	5	5
0	93	5	1	1	1	2	3	23	5	5
0	153	6	1	1	1	3	4	39	6	29
0	153	6	1	1	1	6	3	22	5	5
0	95	10	1	1	1	2	15	85	5	5
0	4	6	1	1	1	3	3	23	6	29
0	155	10	1	1	1	7	14	76	8	19
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	1	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	3	4	34	6	11
0	214	9	1	1	0	2	4	27	6	11
0	214	9	1	1	0	2	4	34	5	5
0	147	11	1	1	1	3	15	86	6	13
0	37	11	1	1	1	2	19	99	9	23
0	214	9	1	1	1	3	14	76	6	11
0	4	6	1	1	1	3	3	25	6	16
0	92	6	1	1	1	2	14	113	5	3
0	228	10	1	1	1	3	20	0	6	16
0	228	10	1	1	1	3	3	23	6	8
0	228	10	1	1	0	9	4	34	13	0
0	200	10	1	1	1	3	14	75	6	11
0	104	11	1	1	0	2	4	35	5	5
0	228	10	1	1	1	1	17	94	6	15
0	92	6	1	1	1	2	14	77	5	5
0	4	6	1	1	1	2	3	23	5	5
0	4	6	1	1	1	2	14	67	5	5
0	4	6	1	1	1	3	3	23	6	29
0	228	10	1	1	0	9	4	29	13	0
1	153	6	1	1	1	6	14	69	13	0
1	200	10	1	1	0	6	4	34	13	0
0	95	10	1	1	1	3	1	7	6	16
0	95	10	1	1	1	3	14	67	6	16
0	4	6	1	1	1	3	14	76	6	16
0	182	11	1	1	1	3	7	45	6	15
0	182	11	1	1	1	3	8	48	6	16
0	182	11	1	1	0	2	4	27	5	2
0	182	11	1	1	1	9	4	29	13	0
0	153	6	1	1	1	3	2	18	6	17
0	186	6	0	1	1	2	2	15	5	5
0	153	6	1	1	1	3	17	94	6	8
0	153	6	1	1	1	2	3	25	5	5
0	95	10	1	1	1	3	14	75	6	11
0	95	10	1	1	0	9	4	27	13	0
0	95	10	1	1	1	6	14	67	5	5
0	153	6	1	1	0	2	4	27	5	5
0	4	6	1	1	1	3	1	3	6	29
0	214	9	1	1	0	2	4	34	6	11
0	214	9	1	1	0	2	4	34	5	5
0	214	9	1	1	0	2	4	34	5	5
0	214	9	1	1	0	2	4	27	6	11
0	4	6	1	1	1	2	3	24	5	5
0	19	6	1	1	1	1	2	15	6	17
0	147	11	1	1	1	2	14	75	5	5
0	147	11	1	1	1	2	14	75	5	5
0	147	11	1	1	1	1	14	77	5	5
0	4	6	1	1	0	3	4	37	6	11
0	228	10	1	1	1	2	2	20	5	5
0	160	5	1	1	1	3	14	73	6	17
0	4	6	1	1	0	3	4	27	6	11
0	4	6	1	1	1	3	20	0	6	8
1	228	10	1	1	1	6	15	85	13	0
1	130	1	1	1	1	1	10	53	9	23
0	95	10	1	1	1	1	2	18	6	16
